id,created_at,text
1177148371125096448,2019-09-26 09:10:16,Wow I really put myself into a coma last night.... at 6:30
1176902153895645184,2019-09-25 16:51:53,@RohnStarling Yeah but if I was traveling there I’d want to backpack most of the trip😂
1176885291715649536,2019-09-25 15:44:53,@RohnStarling There’s way too much life/food to explore for me to want to stay at a high end resort (pictured). Whe… https://t.co/QyMgw5JDPj
1176851743797317640,2019-09-25 13:31:35,If I’m vacationing in Indo-China... there’s no way in hell in staying at a fucking resort 🤧 https://t.co/h1HIQwy9DM
1175164756363288578,2019-09-20 21:48:06,@pmcgill31 Factssss
1175136671882518529,2019-09-20 19:56:30,Literally have been saying that I’m going to move to Texas for the last 4 years of my life https://t.co/87aV1lh9WT
1174899636420526083,2019-09-20 04:14:36,@EmTaeInside Fight her for me🥺🥺
1173706805446434818,2019-09-16 21:14:43,@pmcgill31 @jazzzy_jayyyxo Zero*****
1172889893162377216,2019-09-14 15:08:36,So mad at myself for passing out at the Mets dodgers game yesterday. I was DONE after the third inning 😭😭😭
1172594555004362753,2019-09-13 19:35:02,@applemusicisbad https://t.co/lWRx2gHQ4o
1171994689664405504,2019-09-12 03:51:23,Intermission
1171086944912236552,2019-09-09 15:44:20,@sarahkotss @EmTaeInside Yeah since I told you to watch it last year 😂😂😂
1170910078293217280,2019-09-09 04:01:31,"@sarahkotss Workin moms, mindhunter, altered carbon and the worlds most extraordinary homes😂😂😂"
1169701846593810432,2019-09-05 20:00:26,@meg_queso Miss the backroads throughout the south more than a lot of things 😭😭😭😍
1169228206706233344,2019-09-04 12:38:22,@JHarv_41 They literally have opposite records so.. there’s that
1169098070501597184,2019-09-04 04:01:15,"Life has slowly become a normal routine again, with enough margin of error to make it fun"
1169088456049532929,2019-09-04 03:23:03,@JHarv_41 Toronto is ass
1169079882103566336,2019-09-04 02:48:59,@johannaislegit I know😭😭😭
1169079818912223234,2019-09-04 02:48:43,@EmTaeInside She’s so sweet and kind too🥺🥺🥺🥺
1169070585269370880,2019-09-04 02:12:02,Today I served Anne Hathaway bread and seltzer water. Three days into my new job and I’ve peaked
1167983263887110144,2019-09-01 02:11:24,@Mike_Vernier Fuckin hell😻
1166175966470819841,2019-08-27 02:29:51,My sophomore year roommate is still my fav roommate 😭. Ily louse https://t.co/ogyrl4RiOG
1166173170707173383,2019-08-27 02:18:45,@pmcgill31 NAHHHHHH FOH my friends here know that you always said I was held together by duct tape 💀💀💀
1166171762054356995,2019-08-27 02:13:09,Two softball games after the gym and I think my ankle is SHOT
1164320008849285121,2019-08-21 23:34:56,Just had tpopeyes spicy chicken and I’m not even mad they forgot my (fucking) pickles. It was pretty damn good🥴🥴🥴
