id,created_at,text
1180625799126376448,2019-10-05 23:28:20,@JoshuaOrtegon Yes! The schools have an opportunity to impact young people in a positive way if they would focus on relationships—💕
1180588552825888772,2019-10-05 21:00:19,@dixiefriedsport We should all feel this good💕💕💕
1180100785692184577,2019-10-04 12:42:07,Great one —by ⁦@DrKevinElko⁩ ! Make yourself necessary for others💕 https://t.co/spYlLi8mj2
1179740348127629313,2019-10-03 12:49:52,@JoshuaOrtegon Wow! Powerful🌟Thanks for posting 💕
1178808812133916673,2019-09-30 23:08:16,@AndyStanley Listening 💕
1178808343978221569,2019-09-30 23:06:25,@Mike_Uva https://t.co/Mbcuw4vbRy
1178808120719609856,2019-09-30 23:05:31,@SCweather_wx We had a few sprinkles in Chapin ☔️
1178647640818495488,2019-09-30 12:27:50,Local people making a difference in the Bahamas! Those interested in donating can use the Venmo app and the usernam… https://t.co/fsxwRqChbq
1178440857424400384,2019-09-29 22:46:09,@SCweather_wx I am glad you went too—the crowd was great🌟🎉🐔🏈❤️
1178439739034230804,2019-09-29 22:41:42,"@SCweather_wx That would be awesome! The night game was fun last night, but was still hot:)"
1178439377522974720,2019-09-29 22:40:16,@SCweather_wx Gosh!  I wish the cool weather would be here for some football games 🥵
1178400010800652290,2019-09-29 20:03:50,🌟💪🏻💯🏈❤️ https://t.co/6m3PVVChve
1178382298976329732,2019-09-29 18:53:28,@bobbybentley Yes Sir🌟💯🏈❤️
1178102831762546688,2019-09-29 00:22:57,@aislynjowers @donchambers821 Heck yes! He is ready#88🏈❤️
1178011413241049088,2019-09-28 18:19:41,@UrichJay is an incredibly talented athlete who is willing to do anything the coaches ask of him! He is grounded in… https://t.co/QX4SMjqM04
1177966774278594560,2019-09-28 15:22:19,It’s Gameday! 🥰#88❤️Forever to Thee MEANS Forever to Thee🐔❤️ https://t.co/4ptLBKQHnF
1177934642424487936,2019-09-28 13:14:38,@donchambers821 We will be there and we will be loud🌟🏈🤙🏻❤️ https://t.co/GWDQ2Cw8Py
