id,created_at,text
1088123359286697984,2019-01-23 17:16:39,I'm so neurotic my breathing is just a series of gasps
1088107528452562951,2019-01-23 16:13:45,@stillxcold Aye bb lemme milk then tender testies
1087806049397231616,2019-01-22 20:15:47,What a good human https://t.co/Bz91CXkYya
1087805122493775873,2019-01-22 20:12:06,Looks like Muhammad Ali dodging those Parkinson's punches https://t.co/xm1lrz16pi
1087429820403847168,2019-01-21 19:20:47,Suck it Kirk https://t.co/saZtVDnpXi
1085346590003523584,2019-01-16 01:22:46,How come I got stuck hanging out with the kids that still treat everyone like absolute shit no matter how nice you are
1084995990392897538,2019-01-15 02:09:37,"I wear watches so I don't have to tell people to shut the hell up, I just look at my wrist and the conversation ends."
1084904251065798657,2019-01-14 20:05:04,I'm not really politically biased in either direction but it's always been illegal to suggest someone assassinates… https://t.co/tCa8lG3nxZ
1084901135520010240,2019-01-14 19:52:41,A lot of states have organizations that do this for free. It takes a few weeks normally but it's by far the best wa… https://t.co/ZpW9aQyKXn
1084896623141052419,2019-01-14 19:34:46,The answer is always breakfast https://t.co/bhte4VHzTT
1082987081834602496,2019-01-09 13:06:55,I always moan after I fart
1082408332206444547,2019-01-07 22:47:11,All of the answers is probably drugs https://t.co/axpmycZ5iV
1082408024369782785,2019-01-07 22:45:57,Same business model as low end prostitution https://t.co/cSRIplKYZV
1081382228595298304,2019-01-05 02:49:49,It's 2019 I'm pretty sure it's illegal to tell women you want something now https://t.co/dx2hTiMfUQ
1081380842327420928,2019-01-05 02:44:18,The only way you can get an Italian girl to do anal is using olive oil as lube
1081289511370403840,2019-01-04 20:41:23,"""Ari Shaffir now the world's leading rape advocate. In other news, Ari also hates the retards"" https://t.co/1GZrmqTkAi"
1080574947427266571,2019-01-02 21:21:58,Try sending random people pictures of your flacid cock with no context I hear that's what the kids are into these d… https://t.co/YqKODJNHVj
1080234835204026373,2019-01-01 22:50:29,Have you ever smoked weed so good it scares you for a few minutes?
1080234655121592321,2019-01-01 22:49:46,Love God pay taxes in 2019 children https://t.co/Ks5bgOxOiG
1079805903245897730,2018-12-31 18:26:03,Where are these fellas nowadays https://t.co/MRB9unKg3Q
1079805495249158149,2018-12-31 18:24:26,This is your brain on mushrooms https://t.co/6eZ47euD4K
1079103008766640129,2018-12-29 19:53:00,@stillscrib I am your dad
1079100404066074625,2018-12-29 19:42:39,@stillscrib Your premium snap saw it first
1079035207364366336,2018-12-29 15:23:35,I'd sell my body for some of them thin mints
1078693377640747008,2018-12-28 16:45:17,@Sadieisonfire Is that you?
1078693206714392577,2018-12-28 16:44:36,I get a worse headache from reading Twitter than I do from smashing my head off the pavement
1078015736814206976,2018-12-26 19:52:34,At least he won't have to pay child support for a full 26 years https://t.co/UEBv6LbqXL
1077626793966866433,2018-12-25 18:07:03,There's money in everything if you work hard enough and lazy people will always tell you everything is a waste of t… https://t.co/YauTrM9rHw
1076917558845018112,2018-12-23 19:08:48,Pornhub is just like having the munchies and getting fast food https://t.co/8e0A0bbR6F
1076210747477233664,2018-12-21 20:20:11,@Tyler47fucks That's amazing
1076194609074720770,2018-12-21 19:16:04,@Tyler47fucks Classy background my guy
1075502909834625024,2018-12-19 21:27:30,Pancakes are just waffles with nice skin
1075133975386095616,2018-12-18 21:01:29,@stillxcold Are you Chris Hansen's nephew?
1075131338255147008,2018-12-18 20:51:00,She flew away because she didn't want to know what her cat would think https://t.co/QaBF1Ku2ZF
1075130916425617408,2018-12-18 20:49:20,Has anyone ever left their doctor a voicemail that wasn't awkward?
1074056734623322117,2018-12-15 21:40:55,This is a mom joke go get a pregnancy test asap https://t.co/JLSdeDkeF6
1073629401416417280,2018-12-14 17:22:51,Me too and I'm straight https://t.co/8nmbeGVm7L
1073207277920944128,2018-12-13 13:25:28,Twitter makes me feel like I have HIV
1072848422770761728,2018-12-12 13:39:31,Good morning to everyone except the person that invented stools why would a backless chair be a good idea?
1072196121269858304,2018-12-10 18:27:30,That dude cucked himself https://t.co/qymGNHMVCr
1072191165980688385,2018-12-10 18:07:48,Not if you're rich and lazy https://t.co/BMG4wd3Z6t
1071902898861289473,2018-12-09 23:02:20,@tanner_mci Hey man I just hope you had a say in your first exposure to sexuality. too many people don't have any s… https://t.co/pDbPvTgDSi
1071854420919508994,2018-12-09 19:49:42,I wish I was the chosen voice of Christmas music for millennials but instead I wanted to smoke cigarettes when I wa… https://t.co/cqKcpJW0YP
1071847835207901184,2018-12-09 19:23:32,Sexuality is one of the last parts of a person to develop and we call that stage puberty. Assuming you're referring… https://t.co/PKqUGM8vP4
1071846609632272385,2018-12-09 19:18:40,Children shouldn't be exposed to sexuality that's why we have laws against exposing children to sexuality and count… https://t.co/CckGxhARRJ
1071153024461168646,2018-12-07 21:22:36,@fuckscrib Who keeps letting you out of the loony bin
1070643545558736902,2018-12-06 11:38:07,@freescrib Go for a stroll in the Kingston collection?
1070515232194347013,2018-12-06 03:08:15,American idol and the United States Presidential election should merge in 2020
1070514740680638464,2018-12-06 03:06:18,Future reference you have to decarb your nuke before you boof it. Try putting it in the over for 14 minutes on 350F https://t.co/zDdkwuRvIw
1070086616444751873,2018-12-04 22:45:05,@Tyson_Fury and @JonnyBones should be friends
1069346717915639809,2018-12-02 21:44:59,Too many motherfuckers will take the shirt off you're back and then ask you for $5 before even thanking you. Selfis… https://t.co/cO7W1TEw7z
1068916900552413184,2018-12-01 17:17:03,Pinned tweets are for assholes
1068589575201792000,2018-11-30 19:36:22,I'm a busy fella and sometimes I forget I own a phone https://t.co/0TqgDf7SB0
1068586970371289088,2018-11-30 19:26:01,Took a spinning back elbow to the chin and got dropped harder than Chuck Liddell in a second attempt at a come back https://t.co/5prtitEQ1p
1068247294003286016,2018-11-29 20:56:16,The most dangerous part about smoking weed and driving is making sure the car behind you isn't an undercover cop driving a 1994 Honda Civic
1068245408252608520,2018-11-29 20:48:47,@brendan905 Rally all your Twitter followers together to charge the Canadian boarder and see who lives to see the maple syrup flow my guy
1068237557408907265,2018-11-29 20:17:35,"@stillxcold The Christian's and the bloods. Sworn enemies, torn from the same cloth, separated by religious freedom."
1068236641901391872,2018-11-29 20:13:56,Yo bro one time I flipped of this white man and he asked me if I had a moment to talk about our Lord and savior Jes… https://t.co/SAM8InC2yn
1060977960268849152,2018-11-09 19:30:32,The us government needs a software update
1060586506765697025,2018-11-08 17:35:02,Shout out to setting goals and taking the proper steps to achieve them https://t.co/0obrwcgSZO
1060566844006899712,2018-11-08 16:16:54,What I lack in personality I make up for in my lack of character
1059968261977186304,2018-11-07 00:38:21,I want a lifetime ban from Florida
1058528478683938816,2018-11-03 01:17:10,Holding conversation with Uber drivers that don't want it is America's favorite past time
1057303022244630530,2018-10-30 16:07:38,The next transformers movie is actually just a tribute to Chester Bennington
1054767032758087680,2018-10-23 16:10:31,I wonder if monkeys also get sad when it's cloudy
1054040286526144513,2018-10-21 16:02:42,Today I'm spending 6 hours of my time to get 8 minutes of footage for a TV show on like 8 minutes of sleep should go flawlessly
1044377600234336256,2018-09-25 00:06:38,Where's the respawn button?
1043504906576044032,2018-09-22 14:18:51,Everyone's selling nudes and shit but who's selling some affection?
1040625473598963712,2018-09-14 15:37:01,Depression's an ugly malignant bitch
1040272358697783297,2018-09-13 16:13:52,Shaving your ass crack so you can fart louder is the only true form of self care
1039292023738707969,2018-09-10 23:18:22,@fuckscrib That picture fully captures the Matt Grady effect
1039208631336685568,2018-09-10 17:46:59,@fuckscrib I've needed a new contact picture for you for a while
1037357598046076933,2018-09-05 15:11:39,I quit the juul and now all I do is carry around a hookah in a backpack
1035596588117356546,2018-08-31 18:34:01,If you can seduce me with a bag of milk I'd push a baby kurk out my ass https://t.co/B86BCmsZiH
1035595141040488448,2018-08-31 18:28:16,Isn't that joke from a stand up special that came out in like 2009? https://t.co/zgyucYvor5
1025748220377526272,2018-08-04 14:20:07,Every hour on the hour https://t.co/6i9vUcjjSg
1025479732337553409,2018-08-03 20:33:15,I wish more people my age had arthritis so I could start a Facebook group with them
1025106378992623618,2018-08-02 19:49:40,@fuckscrib Hell yeah dude hit my line harder than Chis Brown hits women
1024804092647034880,2018-08-01 23:48:30,"@fuckscrib I was eating a banana today, it reminded me of you"
1024754842131148802,2018-08-01 20:32:48,@fuckscrib hey
1018994858978168832,2018-07-16 23:04:41,Juul rips are the closest thing I have to cardiovascular exercise
1018547622032887809,2018-07-15 17:27:31,More men suffer from color blindness and that's the purest form of sexism
1015636441072840704,2018-07-07 16:39:31,This guy in this coffee shop just asked for a large iced Americano decaf. Why are you even doing that if you don't want caffeine.
1013942294335164421,2018-07-03 00:27:35,Warped tour 2012 stole my identity
1013941994379513862,2018-07-03 00:26:24,"Happened to my buddy back in Waterloo, dudes been a straight lemon ever since https://t.co/1sRWQBB9mG"
1012639643899187200,2018-06-29 10:11:19,I'm at the point in my life where life is not possible without some kind of vice
1009156551637110790,2018-06-19 19:30:45,Everyone being heartbroken over heathens digging their own graves is going to be the mullet of my generation
1009155330201346048,2018-06-19 19:25:54,"When you accidentally touch your friends hand and forget to say ""no homo"" https://t.co/TjH5HobAxn"
1008165167262322689,2018-06-17 01:51:21,Only if you're fully erect https://t.co/UKZr94Nbrg
1005155986200563713,2018-06-08 18:33:56,So many people posting selfies with crusty ass lips. Drink more water losers
1004137189003886595,2018-06-05 23:05:36,Every few months I come to the realization I need better people in my life but then I do nothing about it so I'm re… https://t.co/GwRXXhIcae
1000096012650893312,2018-05-25 19:27:24,Aioli farts are my drug of choice
997617508445294592,2018-05-18 23:18:43,How come nobody boycotts shit anymore?
993932650262953984,2018-05-08 19:16:24,How come people go vegan for their health before cutting out booze? We've evolved on an omnivorous diet for billion… https://t.co/rsD68ksa2B
989301018742738944,2018-04-26 00:31:57,Corey Taylor seems like the right type of person to take acid and meth with
986552510499389440,2018-04-18 10:30:22,Connecticut is the physical embodiment of clinical depression
984107643219439616,2018-04-11 16:35:20,I'm so pumped to turn 21 this month and continue the family legacy of becoming an alcoholic
981978411982868480,2018-04-05 19:34:32,"""When your legs don't work like they used to before....."" https://t.co/Q9stGXgmfs"
981226987791507457,2018-04-03 17:48:38,I'll always open up the pit for Sara Bareilles
980182802665738242,2018-03-31 20:39:25,I miss Bob Barker
979461185971081219,2018-03-29 20:51:58,@brendan905 @realDonaldTrump this guy doesn't know what real bacon is AND he's speaking Canadian
979460008449626112,2018-03-29 20:47:18,@brendan905 Don't forget your work visa this time yu dumb ham eater
977666104322674689,2018-03-24 21:58:58,The best part about dispensaries is seeing what a weird bunch the Boston stoners are
975866032559620097,2018-03-19 22:46:07,@fuckscrib Literally on my way
975747032332808192,2018-03-19 14:53:15,Dad? https://t.co/pu53fT0Q3Q
975550594101456897,2018-03-19 01:52:41,I'm so pumped to be that old dude covered in tattoos jamming some Orchid next to the Knitting 101 class
975501004325228546,2018-03-18 22:35:38,"I did some research on the google, vegetarian friends was the phrase I was looking for"
974732600257470464,2018-03-16 19:42:16,I need more people to inhale burned plant cells with
973640838990434304,2018-03-13 19:24:00,Why is every respectable tattoo artist also super into MMA?
973196724859785222,2018-03-12 13:59:14,If I grow weed in my closet and harvest it does that make a gay strain? Asking for a friend
972280267120443392,2018-03-10 01:17:34,I always have a very hard time accepting when I need a new charger for my phone
972202863760986113,2018-03-09 20:10:00,Hit my line to join my water polo team we're sponsored by miracle whip and ISIS
971783459264921602,2018-03-08 16:23:26,Everyone's bunk as fuck yo
971054269142061061,2018-03-06 16:05:53,Started my day falling downstairs and getting a concussion so good fucking morning
970754023732244482,2018-03-05 20:12:49,Welcome back to Bully Beatdown™ https://t.co/EGEECfK1Gv
968845756353400833,2018-02-28 13:50:03,If your friends aren't asking you to go to the pauly d show they ain't your friend. https://t.co/a537c09Goy
968814628590538753,2018-02-28 11:46:21,@GoyaFoods took my virginity
967580987151605761,2018-02-25 02:04:18,"I wish I could tweet nudes and get followers but I'm a guy so everyone would be all ""why do you not have a belly bu… https://t.co/9HZ0ckMyx9"
966875704230019072,2018-02-23 03:21:46,Nothing is more humbling than your friends rollerskating and not inviting you
966747478946086912,2018-02-22 18:52:14,I'm writing a childrens book explaining how real estate trade works with Christopher Columbus as the main character
966350186854445056,2018-02-21 16:33:33,"If anyone wants to start an Oasis tribute band with me, dm me i'm a lean mean xylophoner"
965946680406364160,2018-02-20 13:50:09,More people should be using dynamite as an adjective
962855810790551552,2018-02-12 01:08:08,"For valentines day I really fuckin hope that someone pays ""fronzilla"" to make a video for me just calling me a usel… https://t.co/kcnLjWV3i7"
960832582630936577,2018-02-06 11:08:33,Being straight edge in 2018 just means you don't skip breakfast
959224551812075520,2018-02-02 00:38:49,"@punksonparade @realDonaldTrump Sounds like a cop if you ask me, no dart smoking here officer"
959141196089253889,2018-02-01 19:07:35,@realDonaldTrump deport him https://t.co/ZwevQde0Dk
959079808557830144,2018-02-01 15:03:39,I forget I have tattoos on a daily basis
958028142207266817,2018-01-29 17:24:43,If you don't have an email thread with me then we're not friends period
955892220099481600,2018-01-23 19:57:19,Aye shout out to my homie the iron lung
955625914771091458,2018-01-23 02:19:07,Trying to explain the early 2000's to kids in 2060 is going to be a fuckin MESS
953722899533352960,2018-01-17 20:17:13,"Once I become the President of the Mormon Church I'm going to legally change my name to ""Raw Mike"" and get a barbed… https://t.co/RcnUkmbGE2"
953424061891334144,2018-01-17 00:29:44,I ask myself this every damn day https://t.co/geW0r5sjn8
953007007098908676,2018-01-15 20:52:31,Why is everyone so worried about people eating tide pods? I have at least 8 Darwin awards to give out this year
951912348050214912,2018-01-12 20:22:44,"I cuff my boxers because I am what the youth calls, an intellectual."
