id,created_at,text
1180862276032745473,2019-10-06 15:08:00,"@WiredUK #NotABot

#NotAstroTurfing

#WeVapeWeVote https://t.co/3PZeclafMl"
1180861726385983489,2019-10-06 15:05:49,"👈#NotABot

#IvapeIvote 

#WeVapeWeVote #NotBots👇 https://t.co/HFiqweMLAP"
1180858184396877825,2019-10-06 14:51:45,"""represents what the nation feels, and it seems most of America agrees""👇 https://t.co/xvlhdXZEim"
1180855746721918976,2019-10-06 14:42:03,"Damn, @Surgeon_General...

This poll isn't very flattering.

So far, ~#SnippetAlert~ it

""represents what the natio… https://t.co/NHFeYvWlHl"
1180851357819002881,2019-10-06 14:24:37,"#TobaccoCONtrol causes multiple harmful effects, such as yellowing of nails, sexual impotence, cough, abdominal pai… https://t.co/2am84ryHKP"
1180683802571616256,2019-10-06 03:18:49,New York's last desperate attempt is to ban less harmful alternatives interfering with millions of dollars in losse… https://t.co/LP1quvchLR
1180628703363174401,2019-10-05 23:39:52,@FDACommissioner https://t.co/2wcX15Oacy
1180628634266144772,2019-10-05 23:39:36,"@figramsey @KiahD4V @FDACommissioner @CDCgov @Surgeon_General Have YOUR VOICE heard:

https://t.co/2wcX15Oacy"
1180628373275631617,2019-10-05 23:38:33,"✔️

priority
[prīˈôrədē]
NOUN

    the fact or condition of being regarded or treated as more important.… https://t.co/haOsNRCfcN"
1180616251648937984,2019-10-05 22:50:23,"@cult_cloud Yep, agreed, and yes, trolled.

Trolling back... these are the results I'm looking for. https://t.co/jXr9r7LeWg"
1180612490721402881,2019-10-05 22:35:27,@cult_cloud It's a thing! https://t.co/zO0gT1OEeV
1180611033687302146,2019-10-05 22:29:39,"@cult_cloud I can't help what the nation ""feels""! https://t.co/07q9O8NNqT"
1180610727876399106,2019-10-05 22:28:26,#ShowNoFavoritism! https://t.co/DQ2HWvN6Zs
1180606813424754695,2019-10-05 22:12:53,"Let's see what #WeThePeople think.

#TwitterPoll: @realDonaldTrump @POTUS needs to 

(pick one)

@Surgeon_General… https://t.co/akvVwVeePL"
1180600740848386048,2019-10-05 21:48:45,"Funny thing about ""government"", ""ha ha"", they'll ""shut down"" and reopen.

Funny thing about banning flavors, ""ha ha… https://t.co/NwWrHUvzuS"
1180589776098848768,2019-10-05 21:05:11,"Stop eating the batteries, NEAL!!! https://t.co/4GMeiYyB5W"
1180589197096210432,2019-10-05 21:02:53,"Below is an example of #publichealth, @Surgeon_General.

Please make a note of it.

Not in crayon. https://t.co/VQZGwOWIJT"
1180588590322970624,2019-10-05 21:00:28,@mikesubin @schmidci Yes.
