id,created_at,text
1180529361491038208,2019-10-05 17:05:07,Idk who needs to hear this but dating a Service Member is not a personality trait you basic cucks.
1180284282339762181,2019-10-05 00:51:16,@EwdatsGROSS This sounds like every date I went on in highschool
1179956712838717445,2019-10-04 03:09:37,@yFlip_ I'll take that as a no
1179935549353873408,2019-10-04 01:45:31,@yFlip_ did you turn Swallow Falls back to normal yet?
1179429220474392576,2019-10-02 16:13:33,@sweetpotathoez Aha ha
1179425516245458946,2019-10-02 15:58:50,Checkin out a foreign woman call that studying abroad
1178816024466067456,2019-09-30 23:36:56,@barryshader @EllitheJoker Idk it all seems kind of cancel culture-y. Never been a big supporter of his but thanks for the insight.
1178796356107997185,2019-09-30 22:18:46,@jc__rny Fuck dem kids
1178492346943594497,2019-09-30 02:10:45,@keeleexenophon explain https://t.co/nFwcEGdC4P
1178161713423802373,2019-09-29 04:16:56,@not_bru_ja_ja And your filas
1178161604787163136,2019-09-29 04:16:30,@NastyBoySam Daddy
1178123890721210369,2019-09-29 01:46:38,"Learning conjunctions in the dirt call that mud, but."
1178014263304183810,2019-09-28 18:31:01,@Wendys On the toilet as I get ready to embrace the pain that those spicy protein pouches bring upon my digestive system.
1177993143784022016,2019-09-28 17:07:06,@barryshader That's not even homophobic tho
1177824199517360128,2019-09-28 05:55:46,"Anyone who uses the ""🥺"" emoji unirocnically has BIG bottom/pisces energy. You're not sensitive you're a bitch, fighte about it."
1177797991379488768,2019-09-28 04:11:38,@dirtbikecumfuck Dawg I can lick them clean.
1177434541428023296,2019-09-27 04:07:25,@JankiP5 Down with the 🅱️🅰️triarchy
1177431629335355392,2019-09-27 03:55:50,@NastyBoySam 😢😢😢
1177428791473446917,2019-09-27 03:44:34,@NastyBoySam Can you make these into stickers
1177428652759441408,2019-09-27 03:44:01,@JankiP5 The Patriarchy that's why.
1177375737592066050,2019-09-27 00:13:45,@keeleexenophon Do it pussy
1177309910398373890,2019-09-26 19:52:10,@jc__rny You fucking cuck
1177307493917175808,2019-09-26 19:42:34,@keeleexenophon Eat my entire ass
1177306413955203072,2019-09-26 19:38:17,"She was

     gucci slides 
             But 

i.  

    Am Chunky Filas 

~ Roofi Kapier or watever"
1177303673795485702,2019-09-26 19:27:23,@dirtbikecumfuck I hope she sees this bro
1177286517565349889,2019-09-26 18:19:13,@not_bru_ja_ja  this u? https://t.co/m20nBRfsUS
1177285062703943683,2019-09-26 18:13:26,@endmotionless Yes
1176247654009004033,2019-09-23 21:31:08,"@yFlip_ @fights_dm_me No, I'm a retired COD player."
1176243332848242688,2019-09-23 21:13:58,@bigbabymecha @EwdatsGROSS Oh yeah? If clits have existed forever then why can't I find it?
1176243104413835265,2019-09-23 21:13:04,@yFlip_ @fights_dm_me I'll be damned if I stand here and get lectured by a 3D animated character.
1176225823315116038,2019-09-23 20:04:24,@yFlip_ @fights_dm_me Tough talk coming from the guy who turned Swallow Falls into a living hellscape. https://t.co/f0Y7RY66d5
1175864619509985280,2019-09-22 20:09:06,@EwdatsGROSS I have interesting news for u https://t.co/UlL2T7qvFR
1175795964562628608,2019-09-22 15:36:17,@EwdatsGROSS His name is Whiskey and he's such a good boy
1175787880758894593,2019-09-22 15:04:10,@EwdatsGROSS Happy birthday here's a pic of my aunt holding my puppy. Hope you like it. https://t.co/kljitWHg2g
1175007680961945600,2019-09-20 11:23:56,@___DrJ___ I block out all memories of that Dark Place. Even its name.
1174851202342952960,2019-09-20 01:02:08,@___DrJ___ We never would have met if not for 40th AG
1174851144625078272,2019-09-20 01:01:55,@___DrJ___ Faggot
1174502393469374464,2019-09-19 01:56:06,@shelbyy_dyer That's true love
1170475523136507904,2019-09-07 23:14:45,@_imDuskii *heavy breathing* x 5
1170117444993785856,2019-09-06 23:31:53,@EwdatsGROSS The ONLY pumpkin spice beverage worth talking about. https://t.co/TwDUFEqjjV
1170117071155453954,2019-09-06 23:30:24,Drinking a Beer with a dip in is the highest form of human evolution.
1170106645617291264,2019-09-06 22:48:58,@IAmInertiaGG We are Adults ™
1170073050127228928,2019-09-06 20:35:28,@shoe0nhead I'm Joe Biden and I have to go get a haircut and then I'll head out to the gym and then I will be able… https://t.co/h6x4y0gxXD
1168729722060267521,2019-09-03 03:37:34,My dog is dead and VERY little matters anymore.
1168344380538871808,2019-09-02 02:06:21,My dog is dying so I'm having an existential crisis
1168344102372556802,2019-09-02 02:05:15,@___DrJ___ X
1167625782820253698,2019-08-31 02:30:54,@shelbyy_dyer My wedding ring no longer fits. It's a struggle I did not anticipate.
1166541175144271872,2019-08-28 02:41:04,@Diaphanousboy Insane like the ass beating we gave your ass in 1776 boi 🔥🖕🏿😤
1166009472948592641,2019-08-26 15:28:16,@___DrJ___ Good times BRO
1166008243983982592,2019-08-26 15:23:23,@___DrJ___ Also you cummed in the sand. Or was that me... 🤗
1165784601450688512,2019-08-26 00:34:42,@naturallight Please give me a sample of the sweet sweet seltzer. I cannot find it in my area. #supportthetroops
1165072393750155265,2019-08-24 01:24:39,@naturallight I love you
1163598320473923584,2019-08-19 23:47:12,@naturallight Thank you for your service
1163334626951278592,2019-08-19 06:19:23,@___DrJ___ Crusty Dib is honestly me.
1162563978234617863,2019-08-17 03:17:06,I want to mf PARTY son
