id,created_at,text
1180563181527130112,2019-10-05 19:19:30,@ABillionLives I care.
1180543623466610689,2019-10-05 18:01:47,"The ""epidemic"" of adolescent nicotine addiction that the FDA cites to justify its ban on flavored e-cigarettes does… https://t.co/ofAkSjSXt6"
1180515479611269120,2019-10-05 16:09:57,Michigan finally warns about THC vaping as number of lung illnesses double #DANKing https://t.co/rEIBzsWdiF
1180284368914468867,2019-10-05 00:51:36,"@WiredUK Not, no. #CrankyOldBroad, yes. #IVapeIVote #WeVapeWeVote #VapeBan"
1180063651912409088,2019-10-04 10:14:33,"Cigarettes, N.H., Craigslist: How the vaping public is contending with Baker’s ban https://t.co/FkL4XkeaMF"
1180063596006522880,2019-10-04 10:14:20,@GregTHR I would have thought that blood / urine tests would be SOP when trying to diagnose a mystery illness.
1179912983130132480,2019-10-04 00:15:51,"Utah health department delays emergency e-cigarette rules, via @sltrib https://t.co/Fl6SddQR0P"
1179874272296099840,2019-10-03 21:42:02,"@BRAVEmediaMO None of those options work for me. I can't smoke, I'm not interested in IQOS, and the JUUL is too hig… https://t.co/njUf7jEE3y"
1179872919507226624,2019-10-03 21:36:39,@manor_kimberly Thank-you!!!!!
1179871978674503680,2019-10-03 21:32:55,@VaporTechAssoc @ojdunford
1179871574775586816,2019-10-03 21:31:19,@ECIGattorney @ojdunford
1179511075441496064,2019-10-02 21:38:49,"@figramsey @US_FDA @CDCgov @POTUS @realDonaldTrump More photos for @GregTHR collection. Sad times, very sad times.........."
1179510252531679232,2019-10-02 21:35:33,https://t.co/oq6a3Kony6
1179334604232314882,2019-10-02 09:57:35,"Michigan’s flavored vaping ban is “shortsighted,” could harm more people than help, public health officials say https://t.co/tGfT6dSZLx"
1179105885504720897,2019-10-01 18:48:44,Good Job @OhioVaping! #WeVapeWeVote #VapeBan #AdultsLikeFlavors #vaping #vapingsaveslives
1179104017655291904,2019-10-01 18:41:19,"@gopaulblair @GOP THC edibles that look like gummy worm candy are ok, but don't be vaping any candy flavors.... smh"
1178961978582343680,2019-10-01 09:16:54,"You could explore the option of dying from smoking. #InsteadOfVaping. If you're a kid, go play and leave the adult… https://t.co/DxDhbIxhHn"
1178961148357545985,2019-10-01 09:13:36,"@PostOpinions ""e-cigarettes can hook children on nicotine for life, an addiction that could lead to consuming other… https://t.co/Ayjx0KQy3T"
1178695113263857664,2019-09-30 15:36:28,NBC exposes how easy it is for anyone to purchase the packaging that makes it easy to make black market products av… https://t.co/k75rU0EhsF
1178609674595295237,2019-09-30 09:56:58,"Commissioners hit pause button on vape ordinance

https://t.co/aWoiSmU37K"
1178599253674999808,2019-09-30 09:15:34,https://t.co/OnVsGt4Qf6
1178442108765650944,2019-09-29 22:51:07,"Sherburne County Board stresses education in dealing with tobacco, vaping issues https://t.co/YyXw4S2Urx via @hometownsource"
