id,created_at,text
1179366200167542785,2019-10-02 12:03:08,"These are brave words, and harken to a kind of conservatism that build walls with caution and ensures they have wid… https://t.co/V66ZRT3pV1"
1179196754576789504,2019-10-02 00:49:49,"This US journalist, who is not accused (by anyone) of any... https://t.co/2K3Ggc5QGg"
1178029803779297281,2019-09-28 19:32:46,"The Fairness for High Skill Immigrants Act enjoys widespread, bipartisan support. It is good for American competiti… https://t.co/9TEkOsWZlY"
1177386969162289152,2019-09-27 00:58:22,https://t.co/ZrT4GYLnI8
1176807916063662080,2019-09-25 10:37:25,Kathleen Bruinsma is definitely someone who fits in the mold of always standing up for her beliefs and working for… https://t.co/YTSngij48R
1176498324419031040,2019-09-24 14:07:13,This quote from War &amp; Peace. https://t.co/CWBHJqvcs1
1175486602975600640,2019-09-21 19:07:00,#YasuakiOnishi — at Bellagio Las Vegas https://t.co/2Q4gO6aEOT
1175477768710176771,2019-09-21 18:31:54,Your name in lights. — at The Neon Museum https://t.co/oiJLNdADTM
1175069021361848321,2019-09-20 15:27:41,"""We are not sure the F.B.I. is taking its obligations under USA Freedom seriously, "" dryly quipped one EFF attorney. https://t.co/5gaYB2io3S"
1174294336395251713,2019-09-18 12:09:21,This breaking news of the NY Fed jumping into the repo market in this kind of way is... concerning. They haven't re… https://t.co/ULYUwTcURb
1173214133967347714,2019-09-15 12:37:01,"Michigan bridges, of all infrastructure challenges, have among the highest potential to result in loss of human lif… https://t.co/ffb0T6HaxJ"
1171864920931164160,2019-09-11 19:15:44,"Nausea inducing quote: ""the swimmer from Dimond High School competed in four events at the meet on Friday, but was… https://t.co/3IkzPHlxfr"
1171518887197732866,2019-09-10 20:20:43,"""The devil has enough advocates.""
—Marcus Littles,
Frontline Solutions"
1171442781119602688,2019-09-10 15:18:18,Quelle suprise. Uptick of uninsured Americans of 6 tenths of a percent through full year 2018. https://t.co/4gSOk27hz9
1170109314226425856,2019-09-06 22:59:34,"This is shameful. Thank you, Miriam. https://t.co/vMgQIygGcg"
1169926335747252226,2019-09-06 10:52:29,"Propublica's reporting found evidence of ~60 crashes since 2015, with 10 deaths and 45 lawsuits, although the compl… https://t.co/VOd805NGzx"
1169380833700012033,2019-09-04 22:44:51,https://t.co/fsSX7P0fmR
1169319983299682305,2019-09-04 18:43:03,This is the first case I've heard of an extremely restrictive diet (of the kind often seen in autism) went far enou… https://t.co/anyR9Ge5NE
1168663488379719685,2019-09-02 23:14:23,"It looks like the actual journal article is not actually available even via PNAS early access yet, but I am definit… https://t.co/TH0uOfXh7h"
1168598983062609924,2019-09-02 18:58:03,Claw-veland rocks art! #CatcationVolumeIII — at The Cleveland Museum of Art https://t.co/oGojibHg6l
1168502073618513920,2019-09-02 12:32:58,"One of the participants enrolled in Habitat for Humanity to rehab and move into a new home with her 7yo and 9yo:

""… https://t.co/vMDyuthTjE"
1165985120672735233,2019-08-26 13:51:30,"Hey guys! We just want to thank you for the excellent beer, tasty food, and the outstanding hospitality from Jazz a… https://t.co/JtN8YHii58"
1164534204392230913,2019-08-22 13:46:04,Are you all using this app and didn't tell me about it? It's $15/yr paid feature looks easily worth the price. How… https://t.co/zDOPEw3Maj
1162687679944953856,2019-08-17 11:28:39,¡Gracias por los mejores aguacates del mundo! https://t.co/esFKJ3jUSS
1162501947510992904,2019-08-16 23:10:37,#BossBabe required reading. https://t.co/KAaSqQhCF8
1161956737768927232,2019-08-15 11:04:09,This story (also on p. 50 of the physical magazine) exemplifies how broken the asylum system in the U.S. is. A Clin… https://t.co/Ybykn1AJst
1161953593492221954,2019-08-15 10:51:39,"This is a really remarkable read about Ms. May and her three loves: the environment, family planning, and the anti-… https://t.co/07DzNSGUgE"
1161949126617120768,2019-08-15 10:33:54,"While you're looking at their behinds, beware that women may kick yours. https://t.co/lFXmOVlIWA"
1161037861501788161,2019-08-12 22:12:51,"""Write with blood, and thou wilt find that blood is spirit""
Thus spake Zarathustra"
1160588654466740226,2019-08-11 16:27:52,I can't believe I had the chance to go to grad school with people as amazing as Vonetta Jones Dotson.
1160567216779255813,2019-08-11 15:02:41,This primary source reporting from #WaPo a couple of days... https://t.co/kWQiIybFp8
1160260473977278465,2019-08-10 18:43:48,"""What we cannot forget about is that straight up empathy is wildly effective.""
—Lisa Damour
#APAConvention2019"
1160238255318753280,2019-08-10 17:15:30,This might be a really valuable model of compromise in the public space. https://t.co/xJ20pIDOgX
1159541976867508225,2019-08-08 19:08:45,Let me #HumbleBrag about Erin Deneke. So excited about her session. #APA #Division44
1159119994610966528,2019-08-07 15:11:56,"Thankful to have leaders in these areas in our community and opportunities to collaborate with them. Like Fishbeck,… https://t.co/pWclDfo1yr"
1159088027311976448,2019-08-07 13:04:55,Hey you guys!!!! Wade Rouse is going to be interviewing Rita Mae Brown on 9/5 at SCA! Tickets available now.
1159087435869032449,2019-08-07 13:02:34,https://t.co/gsvRWp2pbc
1159064713961070592,2019-08-07 11:32:16,https://t.co/CG3BgJGjVx
1157304625730588678,2019-08-02 14:58:19,"I've beaten this drum before, but these kinds of calculators and the social psychology behind perceptions of relati… https://t.co/uYXoto6Ym4"
1157281001640538113,2019-08-02 13:24:26,"Mr. Hurd's direct, hands-on experience as a legislator from the border, his high-tech background with the CIA, and… https://t.co/AFlm0BABw5"
1156518869747589120,2019-07-31 10:56:00,"Just to be clear — John Delaney is NOT the guy from CSI:Miami, correct?"
1156197173358465024,2019-07-30 13:37:41,Next Tuesday is a primary ballot for GR (and other communities). Some info for GR peeps. https://t.co/ECwuZvv7py
1156152857357430785,2019-07-30 10:41:36,"""The threats to our democracy are not imagined, they are real. But there is a fundamental decency to the vast major… https://t.co/vi5iZF1DMZ"
1154343607538716673,2019-07-25 10:52:17,"I'm not against this, necessarily, even if it means I will pay another $5-6k in taxes, but I am against a graduatio… https://t.co/LnZ5t9pyv1"
1154160060051972096,2019-07-24 22:42:56,"Thank you so much, West Michigan Woman for the opportunity to tell a little bit of my story!!! https://t.co/fQIfVgxM3Q"
1153978056358473729,2019-07-24 10:39:43,"CBS's new data is fascinating. I have concerns about dividing Dems on how ""liberal"" they are, and assuming that lib… https://t.co/xLoaC8byv7"
1153771530159120386,2019-07-23 20:59:03,"We might be a little late tonight, but we are glad to support Wendy, who has done so much for our City. Come join u… https://t.co/ZActUC3rEo"
1153477590457430021,2019-07-23 01:31:02,A moving and compelling take on the US felony murder rule (Michigan's felony murder rule fell in 1980 via a court d… https://t.co/v7U6Qrovia
1153287811212173312,2019-07-22 12:56:55,"This particular statistic is amazing. Russia, Canada, and the USA - just these three countries together - are estim… https://t.co/IFSDg4SujV"
1153280778530435073,2019-07-22 12:28:59,"Raj Chetty, himself a participant in the American Dream, is uniquely poised to understand and help maximize the fut… https://t.co/qtSmOl6Kdg"
1153015443000614912,2019-07-21 18:54:38,"Thank you for your leadership on this issue, Brian Calley. https://t.co/N8dGC7gW6g"
1152233792918175744,2019-07-19 15:08:38,"""If we like someone, we're gonna take 'em to heaven.
If we like a pair of shoes, we're gonna buy eleven."" https://t.co/NVR0zAi5wc"
1151912673866649601,2019-07-18 17:52:37,"Just realizing there is actually a ""FaceApp"" and it's not like when people say sportsball."
1151814948428926977,2019-07-18 11:24:18,Original reporting worth reading. The near term mission landscape changes mean more collaboration between Special O… https://t.co/LfyuJE4XF1
